"","i",".te"
"1","DCOL","Dairy cows production activity low yield"
"2","DCOH","Dairy cows  production activityhigh yield"
"3","BULL","Male adult fattening activity low final weight"
"4","BULH","Male adult fattening activity high final weight"
"5","HEIL","Heifers fattening activity low final weight"
"6","HEIH","Heifers fattening activity high final weight"
"7","SCOW","Suckler cows production activity"
"8","HEIR","Heifers raising activity"
"9","CAMF","Calves male fattening activity"
"10","CAFF","Calves female fattening activity"
"11","CAMR","Calves male raising activity"
"12","CAFR","Calves female raising activity"
"13","PIGF","Pig fattening activity"
"14","SOWS","Sows for piglet production"
"15","SHGM","Sheep and goats activity for milk production"
"16","SHGF","Sheep and goats activity for fattening"
"17","HENS","Laying hens production activity"
"18","POUF","Poultry fattening activity"
"19","DCOW","Dairy cows production activity"
"20","BULF","Male adult fattening activity"
"21","HEIF","Heifers fattening activity"
