"","i1","i2","i3","i4","value"
"2616","BL000000","DCOL","FGRA","Y",9382.42709438383
"2617","BL000000","DCOL","FMAI","Y",5904.11688769621
"2618","BL000000","DCOL","FOFA","Y",4287.03837651409
"2619","BL000000","DCOL","FROO","Y",286.898570478431
"2620","BL000000","DCOL","FSTR","Y",86.4151334942356
"2621","BL000000","DCOL","FCER","Y",160.359880196037
"2622","BL000000","DCOL","FPRO","Y",710.238818974962
"2623","BL000000","DCOL","FENE","Y",37.5969579319904
"2624","BL000000","DCOL","FMIL","Y",3.56068130933787
"2625","BL000000","DCOL","FOTH","Y",59.2419325729868
"2722","BL000000","DCOH","FGRA","Y",4591.73802517409
"2723","BL000000","DCOH","FMAI","Y",8155.27690244238
"2724","BL000000","DCOH","FOFA","Y",5120.21119970335
"2725","BL000000","DCOH","FROO","Y",1141.5546535308
"2726","BL000000","DCOH","FSTR","Y",346.429446976474
"2727","BL000000","DCOH","FCER","Y",190.092761395023
"2728","BL000000","DCOH","FPRO","Y",1721.74120793035
"2729","BL000000","DCOH","FENE","Y",44.5679402142703
"2730","BL000000","DCOH","FMIL","Y",4.22087957232338
"2731","BL000000","DCOH","FOTH","Y",70.2261846255424
"2829","BL000000","BULL","FGRA","Y",6659.57131081875
"2830","BL000000","BULL","FMAI","Y",2818.35415279475
"2831","BL000000","BULL","FOFA","Y",40.8451253545822
"2832","BL000000","BULL","FROO","Y",128.151871875621
"2833","BL000000","BULL","FCOM","Y",168.135173842415
"2834","BL000000","BULL","FSTR","Y",1.91252981837639
"2835","BL000000","BULL","FCER","Y",135.900332731407
"2836","BL000000","BULL","FPRO","Y",32.8750644871037
"2837","BL000000","BULL","FENE","Y",18.2504771688069
"2838","BL000000","BULL","FMIL","Y",1.72844124939626
"2839","BL000000","BULL","FOTH","Y",396.535009472411
"2933","BL000000","BULH","FGRA","Y",4412.75586812387
"2934","BL000000","BULH","FMAI","Y",11367.2288602057
"2935","BL000000","BULH","FOFA","Y",68.3928920133492
"2936","BL000000","BULH","FROO","Y",969.278080872175
"2937","BL000000","BULH","FCOM","Y",383.480636757009
"2938","BL000000","BULH","FSTR","Y",3.11049770261535
"2939","BL000000","BULH","FCER","Y",108.515586190984
"2940","BL000000","BULH","FPRO","Y",53.467303661263
"2941","BL000000","BULH","FENE","Y",29.6821867872031
"2942","BL000000","BULH","FMIL","Y",2.81109998060617
"2943","BL000000","BULH","FOTH","Y",635.741982147917
"3037","BL000000","HEIL","FGRA","Y",387.444366408376
"3038","BL000000","HEIL","FMAI","Y",10099.8194583693
"3039","BL000000","HEIL","FOFA","Y",92.7970823706977
"3040","BL000000","HEIL","FROO","Y",294.683638365704
"3041","BL000000","HEIL","FCOM","Y",321.793957676447
"3042","BL000000","HEIL","FSTR","Y",4.15433955718013
"3043","BL000000","HEIL","FCER","Y",40.2588834637374
"3044","BL000000","HEIL","FPRO","Y",1155.64757923889
"3045","BL000000","HEIL","FENE","Y",39.643135762663
"3046","BL000000","HEIL","FMIL","Y",3.75446792288348
"3047","BL000000","HEIL","FOTH","Y",62.4661170747309
"3141","BL000000","HEIH","FGRA","Y",4070.86065732156
"3142","BL000000","HEIH","FMAI","Y",21098.5234600647
"3143","BL000000","HEIH","FOFA","Y",134.437865934604
"3144","BL000000","HEIH","FROO","Y",830.36078880372
"3145","BL000000","HEIH","FCOM","Y",591.785952870527
"3146","BL000000","HEIH","FSTR","Y",6.06235270787988
"3147","BL000000","HEIH","FCER","Y",58.7490617518114
"3148","BL000000","HEIH","FPRO","Y",57.8931383915737
"3149","BL000000","HEIH","FENE","Y",57.8505122491502
"3150","BL000000","HEIH","FMIL","Y",5.47882725176285
"3151","BL000000","HEIH","FOTH","Y",1041.68245735601
"3245","BL000000","SCOW","FGRA","Y",13623.7770277593
"3246","BL000000","SCOW","FMAI","Y",349.910152645907
"3247","BL000000","SCOW","FOFA","Y",1597.07254129395
"3248","BL000000","SCOW","FROO","Y",222.732508320084
"3249","BL000000","SCOW","FSTR","Y",141.987509549318
"3250","BL000000","SCOW","FCER","Y",27.5344846771745
"3251","BL000000","SCOW","FPRO","Y",162.035611220021
"3252","BL000000","SCOW","FENE","Y",25.8222408453102
"3253","BL000000","SCOW","FMIL","Y",2.44553749559836
"3254","BL000000","SCOW","FOTH","Y",40.6883837199939
"3356","BL000000","HEIR","FGRA","Y",14213.9155539142
"3357","BL000000","HEIR","FMAI","Y",244.746995303097
"3358","BL000000","HEIR","FOFA","Y",766.852687955437
"3359","BL000000","HEIR","FROO","Y",319.23611212358
"3360","BL000000","HEIR","FCOM","Y",469.057184264579
"3361","BL000000","HEIR","FSTR","Y",4.51043328809749
"3362","BL000000","HEIR","FCER","Y",43.7097174210289
"3363","BL000000","HEIR","FPRO","Y",408.019470212678
"3364","BL000000","HEIR","FENE","Y",43.0411902364387
